Country,Capital City,Latitude,Longitude,Population,Capital Type
阿富汗,喀布尔,34.5289,69.1725,4011770,Capital
阿尔巴尼亚,地拉那,41.3275,19.8189,475577,Capital
阿尔及利亚,阿尔及尔,36.7525,3.0420,2693542,Capital
美属萨摩亚,帕果帕果,-14.2781,-170.7025,48526,Capital
安道尔,安道尔城,42.5078,1.5211,22614,Capital
安哥拉,罗安达,-8.8368,13.2343,7774200,Capital
安圭拉,山谷市,18.2170,-63.0578,1402,Capital
安提瓜和巴布达,圣约翰斯,17.1172,-61.8457,20764,Capital
阿根廷,布宜诺斯艾利斯,-34.6051,-58.4004,14966530,Capital
亚美尼亚,埃里温,40.1820,44.5146,1080324,Capital
阿鲁巴,奥拉涅斯塔德,12.5240,-70.0270,29877,Capital
澳大利亚,堪培拉,-35.2835,149.1281,447692,Capital
奥地利,维也纳,48.2064,16.3707,1900547,Capital
阿塞拜疆,巴库,40.3777,49.8920,2285729,Capital
巴哈马,拿骚,25.0582,-77.3431,279668,Capital
巴林,麦纳麦,26.2154,50.5832,564631,Capital
孟加拉国,达卡,23.7104,90.4074,19578421,Capital
巴巴多斯,布里奇顿,13.1000,-59.6167,89201,Capital
白俄罗斯,明斯克,53.9000,27.5667,2004672,Capital
比利时,布鲁塞尔,50.8467,4.3499,2049510,Capital
伯利兹,贝尔莫潘,17.2500,-88.7667,22964,Capital
贝宁,科托努,6.3654,2.4183,685458,Economic Capital
百慕大,哈密尔顿,32.2915,-64.7780,10073,Capital
不丹,廷布,27.4661,89.6419,203297,Capital
玻利维亚,拉巴斯,-16.5000,-68.1500,1814087,Seat of Government
波斯尼亚和黑塞哥维那,萨拉热窝,43.8486,18.3564,342577,Capital
博茨瓦纳,哈博罗内,-24.6545,25.9086,269338,Capital
巴西,巴西利亚,-15.7797,-47.9297,4469585,Capital
英属维尔京群岛,罗德城,18.4167,-64.6167,15137,Capital
文莱,斯里巴加湾市,4.9403,114.9481,40781,Capital
保加利亚,索非亚,42.6975,23.3242,1272418,Capital
布基纳法索,瓦加杜古,12.3642,-1.5383,2531381,Capital
布隆迪,布琼布拉,-3.3822,29.3644,898968,Capital
佛得角,普拉亚,14.9215,-23.5087,167504,Capital
柬埔寨,金边,11.5625,104.9160,1952329,Capital
喀麦隆,雅温得,3.8667,11.5167,3655656,Capital
加拿大,渥太华,45.4166,-75.6980,1363159,Capital
荷兰加勒比区,克拉伦代克,12.1500,-68.2667,11313,Capital
开曼群岛,乔治敦,19.2866,-81.3744,34875,Capital
中非共和国,班吉,4.3612,18.5550,850946,Capital
乍得,恩贾梅纳,12.1067,15.0444,1322679,Capital
海峡群岛,圣赫利尔,49.1880,-2.1049,34386,Capital
海峡群岛,圣彼得港,49.4598,-2.5353,16271,Capital
智利,圣地亚哥,-33.4569,-70.6483,6680371,Capital
中国,北京,39.9075,116.3972,19617963,Capital
"中国香港特别行政区",香港,22.2796,114.1887,7428887,Capital
"中国澳门特别行政区",澳门,22.2006,113.5461,632418,Capital
"中国台湾省",台北,25.0470,121.5457,2705791,Others
哥伦比亚,波哥大,4.6097,-74.0818,10574409,Capital
