city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
东京,东京,35.6897,139.6922,日本,JP,JPN,东京,primary,37732000,1392685764
雅加达,雅加达,-6.1750,106.8275,印度尼西亚,ID,IDN,雅加达,primary,33756000,1360771077
德里,德里,28.6100,77.2300,印度,IN,IND,德里,admin,32226000,1356872604
广州,广州,23.1300,113.2600,中国,CN,CHN,广东,admin,26940000,1156237133
孟买,孟买,19.0761,72.8775,印度,IN,IND,马哈拉施特拉邦,admin,24973000,1356226629
马尼拉,马尼拉,14.5958,120.9772,菲律宾,PH,PHL,马尼拉,primary,24922000,1608618140
上海,上海,31.1667,121.4667,中国,CN,CHN,上海,admin,24073000,1156073548
圣保罗,圣保罗,-23.5500,-46.6333,巴西,BR,BRA,圣保罗,admin,23086000,1076532519
首尔,首尔,37.5600,126.9900,韩国,KR,KOR,首尔,primary,23016000,1410836482
墨西哥城,墨西哥城,19.4333,-99.1333,墨西哥,MX,MEX,墨西哥城,primary,21804000,1484247881
开罗,开罗,30.0444,31.2358,埃及,EG,EGY,ón 开罗,primary,20296000,1818253931
纽约,纽约,40.6943,-73.9249,美国,US,USA,纽约,,18972871,1840034016
达卡,达卡,23.7639,90.3889,孟加拉国,BD,BGD,达卡,primary,18627000,1050529279
北京,北京,39.9040,116.4075,中国,CN,CHN,北京,primary,18522000,1156228865
加尔各答,加尔各答,22.5675,88.3700,印度,IN,IND,西孟加拉,admin,18502000,1356060520
曼谷,曼谷,13.7525,100.4942,泰国,TH,THA,曼谷,primary,18007000,1764068610
深圳,深圳,22.5350,114.0540,中国,CN,CHN,广东,minor,17619000,1156158707
莫斯科,莫斯科,55.7558,37.6178,俄罗斯,RU,RUS,莫斯科,primary,17332000,1643318494
布宜诺斯艾利斯,布宜诺斯艾利斯,-34.5997,-58.3819,阿根廷,AR,ARG,布宜诺斯艾利斯,primary,16710000,1032717330
拉各斯,拉各斯,6.4550,3.3841,尼日利亚,NG,NGA,自治市,minor,16637000,1566593751
伊斯坦布尔,伊斯坦布尔,41.0136,28.9550,土耳其,TR,TUR,伊斯坦布尔,admin,16079000,1792756324
卡拉奇,卡拉奇,24.8600,67.0100,巴基斯坦,PK,PAK,信德,admin,15738000,1586129469
班加罗尔,班加罗尔,12.9789,77.5917,印度,IN,IND,卡纳塔克,admin,15386000,1356410365
胡志明市,胡志明市,10.7756,106.7019,越南,VN,VNM,胡志明,admin,15136000,1704774326
大阪,大阪,34.6939,135.5022,日本,JP,JPN,大阪,admin,15126000,1392419823
成都,成都,30.6600,104.0633,中国,CN,CHN,四川,admin,14645000,1156421555
德黑兰,德黑兰,35.6892,51.3889,伊朗,IR,IRN,德黑兰,primary,14148000,1364305026
金沙萨,金沙萨,-4.3250,15.3222,刚果（金沙萨）,CD,COD,金沙萨,primary,12836000,1180000363
里约热内卢,里约热内卢,-22.9111,-43.2056,巴西,BR,BRA,里约热内卢,admin,12592000,1076887657
金奈,金奈,13.0825,80.2750,印度,IN,IND,泰米尔纳德,admin,12395000,1356374944
西安,西安,34.2667,108.9000,中国,CN,CHN,陕西,admin,12328000,1156244079
拉合尔,拉合尔,31.5497,74.3436,巴基斯坦,PK,PAK,旁遮普(旁遮普),admin,12306000,1586801463
